"book_title","author","book_price","genre"
"How to Catch a Turkey","Adam Wallace","5.65","Childrens, Fiction"
"Stocking Stuffer Mad Libs: World's Greatest Word Game","Leigh Olsen","2.79","Childrens, Storytime,Fiction"
"Don't Let the Pigeon Drive the Sleigh!","Mo Willems","11.99","Picture Books, Christmas, Holiday, Humor, Childrens, Fiction, Animals"
"Turkey Trouble","Wendi Silvano","8.79","Picture Books, Childrens, Holiday, Animals, Humor, Storytime, Fiction"
"World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids","Editors of Publications International","9.43","Childrens, Activities, Crafts, Games"
"The Leaf Thief: (The Perfect Fall Book for Children and Toddlers)","Alice Hemming","10.39","Childrens"
"Balloons over Broadway: The True Story of the Puppeteer of Macy's Parade (Bank Street College of Education Flora Stieglitz St","Bill Martin Jr.","12.19","Childrens, literature"
"How to Catch a Reindeer","Eric Carle","5.99","Childrens, literature"
"Pookie's Thanksgiving (Little Pookie)","Alice Walstead","6.99","Childrens, literature"
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness","Sandra Boynton","12.68","Picture Books, Childrens, Holiday"
"Little Blue Truck's Christmas: A Christmas Holiday Book for Kids","Alice Schertle","11.20","Childrens, literature"
"Goodnight Moon","Margaret Wise Brown","5.36","Childrens, literature"
"I Am Thankful: A Thanksgiving Book for Kids","Sheri Wall","7.99","Picture Books, Childrens"
"Where's Bluey?: A Search-and-Find Book"," Penguin Young Readers Licenses (","6.93","Childrens, Storytime,Fiction"
"The Wonderful Things You Will Be","Emily Winfield Martin","9.40","Picture Books, Childrens, Fiction, Poetry"
"How to Catch a Dinosaur","Adam Wallace","4.66","Picture Books, Dinosaurs, Childrens, Fiction, Storytime, Fantasy, Animals"
"Flash Cards: Sight Words"," Scholastic","2.88","Educational Material, Childrens"
"I Love You Like No Otter: A Funny and Sweet Animal Board Book for Babies and Toddlers this Christmas (Punderland)","Rose Rossner","5.37","Picture Books, Animals, Childrens, Fiction, Love, Family, Humor"
"There Was an Old Lady Who Swallowed a Turkey!","Lucille Colandro","6.28","Picture Books, Holiday, Childrens, Fiction, Storytime, Humor"
"Llama Llama Gives Thanks","Anna Dewdney","5.67","Picture Books, Childrens, Holiday, Animals, Kids Fiction"
"How to Catch an Elf","Adam Wallace","6.94","Christmas, Picture Books, Holiday, Childrens, Fantasy, Humor, Fiction"
"Hello, Baby Animals: A Durable High-Contrast Black-and-White Board Book for Newborns and Babies (High-Contrast Books)","duopress labs, Julissa Mora","4.73","Childrens, Picture Books, Animals"
"My First Library : Boxset of 10 Board Books for Kids (My First Book of)","Not available","16.74","Childrens"
"Where's Spot?","Eric Hill","4.97","Childrens"
"Harry Potter Paperback Box Set (Books 1-7)","J.K. Rowling","45.22","Childrens, Young Adult, Fantasy, Science Fiction &amp; Horror"
"Just Because","Matthew McConaughey","12.69","Picture Books, Childrens, Fiction"
"If Animals Kissed Good Night","Ann Whitford Paul","4.19","Picture Books, Childrens, Animals, Fiction, Family, Storytime, Poetry"
"Five Silly Turkeys","Salina Yoon","5.99","Picture Books, Childrens, Holiday, Storytime, Counting, Animals, Number"
"Paint by Sticker Kids: Christmas: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers","Workman Publishing","6.06","Childrens Literature"
"Moo, Baa, La La La!","Sandra Boynton","3.69","Childrens literature, picture book"
"Paw Patrol Phonics: 12 Books in 1","Jennifer Liberts","8.25","Childrens"
"The Wonky Donkey","Craig Smith","5.28","Childrens, Picture Books"
