"Book Title","Author","rating"
"Resurrection Walk (Lincoln Lawyer)","Michael Connelly","5.00"
"The Wonderful Things You Will Be","Emily Winfield Martin","4.90"
"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)","Sherri Duskey Rinker","4.90"
"Pookie's Thanksgiving (Little Pookie)","Alice Walstead","4.90"
"Goodnight Moon","Margaret Wise Brown","4.90"
"Taylor Swift: A Little Golden Book Biography"," Wendy Loggia","4.90"
"Balloons over Broadway: The True Story of the Puppeteer of Macy's Parade (Bank Street College of Education Flora Stieglitz St","Bill Martin Jr.","4.90"
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr.","4.90"
"The Very Hungry Caterpillar","David Brooks","4.90"
"I Love You to the Moon and Back","Taylor Jenkins Reid","4.90"
